FILE_NAME,BLOBS_AREA_MEAN,BLOBS_AREA_STDEV,BLOBS_AREA_SUM,BLOBS_AREA_VARIANCE,BLOBS_BRIGHTNESS_MAX,BLOBS_BRIGHTNESS_MEAN,BLOBS_BRIGHTNESS_MIN,BLOBS_BRIGHTNESS_STDEV,BLOBS_COUNT,MAXBLOB_ANGLE,MAXBLOB_AREA,MAXBLOB_CIRCULARITY,MAXBLOB_CONVEXHULL_AREA,MAXBLOB_CONVEXHULL_PERIMETER,MAXBLOB_EQUIVALENT_DIAMETER,MAXBLOB_LENGTH_1ST,MAXBLOB_LENGTH_2ND,MAXBLOB_LENGTH_RATIO,MAXBLOB_PERIMETER,MAXBLOB_ROUGHNESS,MAXBLOB_SOLIDITY
18850_T5A46BR024B_TCAOH510_108_53.5851_666.138_O_L_20161202_161620.jpg,266.125,206.996,1064.5,42847.2,219,80.6588,37,34.1924,4,-33.6901,475.5,0.368746,610.5,111.049,24.6054,47.9816,16.9184,2.83607,127.296,1.14631,0.77887
18850_T5A46BR024B_TCAOH510_330_-208.172_-509.321_O_L_20161202_161625.jpg,467.357,557.787,3271.5,311127,223,87.2364,38,38.3389,7,-5.52754,1285.5,0.646073,1365.5,149.983,40.4568,61.2943,28.223,2.17179,158.125,1.05429,0.941413
18850_T5A46BR025B_TCAOH510_194_511.692_-334.043_O_L_20161202_161907.jpg,223.3,345.186,1116.5,119153,218,90.3585,37,39.4969,5,0,836.5,0.731927,889.5,112.859,32.6353,41,25,1.64,119.841,1.06186,0.940416
18850_T5A46BR027B_TCAOH510_45_-56.5219_640.893_O_L_20161202_162443.jpg,117.5,0,117.5,0,87,82.2606,75,3.208,1,0,117.5,0.538068,142,48.9409,12.2313,19,10,1.9,52.3848,1.07037,0.827465
18850_T5A46BR02DB_TCAOH510_44_275.369_564.321_O_M_20161202_164113.jpg,311.917,220.044,3743,48419.2,224,79.3222,41,34.1951,12,-37.9987,682,0.542567,776,119.469,29.4678,48.759,19.3066,2.52551,125.681,1.052,0.878866
18850_T5A46BR02DB_TCAOH510_45_275.417_564.364_O_L_20161202_164113.jpg,522.885,432.381,6797.5,186954,224,86.2201,40,40.0597,13,-43.6196,1698.5,0.176357,2643,291.428,46.5037,133.204,22.8082,5.84018,347.889,1.19374,0.642641
18850_T5A46BR02DB_TCAOH510_47_275.536_564.471_O_H_20161202_164113.jpg,487.364,260.264,5361,67737.6,225,91.6846,44,41.6149,11,-45,899,0.443059,1060.5,141.836,33.8326,60.8112,22.6274,2.6875,159.681,1.12581,0.847713
18850_T5A46BR02DB_TCAOH510_51_275.904_564.799_O_M_20161202_164114.jpg,308.833,364.476,926.5,132843,190,63.1298,41,23.7127,3,-45,724,0.717983,781,105.563,30.3616,38.1838,26.163,1.45946,112.569,1.06636,0.927017
18850_T5A46BR02EB_TCAOH510_270_-490.152_428.675_O_L_20161202_164401.jpg,76.8333,23.6828,691.5,560.875,224,91.7876,67,31.9297,9,-26.5651,99,0.785418,106,37.896,11.2272,12.9692,10.2859,1.26087,39.799,1.05022,0.933962
18850_T5A46BR02FB_TCAOH510_238_96.6133_429.871_O_L_20161202_164644.jpg,136.9,61.6192,684.5,3796.92,224,98.0606,58,40.9836,5,-45,212.5,0.835715,220.5,54.4217,16.4488,16.9706,16.2635,1.04348,56.5269,1.03868,0.963719
18850_T5A46BR02FB_TCAOH510_309_501.241_-691.555_O_M_20161202_164645.jpg,216.125,288.351,864.5,83146.2,222,96.7725,53,42.905,4,-40.1009,642.5,0.379906,821,129.789,28.6017,57.0865,16.506,3.45854,145.782,1.12322,0.782582
18850_T5A46BR02GB_TCAOH510_121_-69.3878_831.225_O_L_20161202_164925.jpg,262.75,229.456,525.5,52650.1,85,72.7646,60,7.10074,2,-60.9454,425,0.786079,449,78.1638,23.2621,26.1276,20.6884,1.26291,82.4264,1.05453,0.946548
18850_T5A46BR02KB_TCAOH510_188_74.8677_-825.994_O_L_20161202_165824.jpg,284.333,315.91,853,99799.1,225,122.13,49,54.554,3,-87.7543,640.5,0.27476,817.5,158.191,28.5571,73.0223,12.6765,5.76043,171.154,1.08195,0.783486
